ProjID,IndivID,SampleID,NameConvention,Species,CommonName,PCL_cm,FL_cm,TL_cm,Weight_g,Sex,Date,Lat,Long,FishingType,TrawlStation,TrawlName,Person,d13C,d13C_SD,WT%C,WT%C_SD,d15N,d15N_SD,WT%N,WT%N_SD,d34S,d34S_SD,WT%S,WT%S_SD,CN,Tissue,LipidExtraction,UreaExtraction,ExtractionNotes,OtherData,Notes,,Environmental Variables from the trawl
DESG,,6/8/21-06,,Carcharhinus plumbeus,Sandbar Shark,39.9,44.9,56,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.582,,,,15.723,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-07,,Carcharhinus plumbeus,Sandbar Shark,72.1,79.8,100,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.279,,,,15.625,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-08,,Carcharhinus plumbeus,Sandbar Shark,37.9,42.1,52,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.02,,,,14.486,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-1,,Carcharhinus plumbeus,Sandbar Shark,42,45.5,55,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-15.25,,,,11.18,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-1,,Carcharhinus plumbeus,Sandbar Shark,42,45.5,55,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-15.61,,,,12.3,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-10,,Carcharias taurus,Sand Tiger Shark,165,185,222,,M,6/8/21,38.80437,-75.1796,Longline,,,DS,-16.47,,,,15.98,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-11,,Carcharhinus plumbeus,Sandbar Shark,150,170,200,,F,6/8/21,38.80437,-75.1796,Longline,,,DS,-16.57,,,,13.46,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-11,,Carcharhinus plumbeus,Sandbar Shark,150,170,200,,F,6/8/21,38.80437,-75.1796,Longline,,,DS,-16.7,,,,13.01,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-11,,Carcharhinus plumbeus,Sandbar Shark,150,170,200,,F,6/8/21,38.80437,-75.1796,Longline,,,DS,-16.842,,,,15.482,,,,,,,,,RBC,,,,,,,
DESG,,6/8/21-2,,Carcharhinus plumbeus,Sandbar Shark,80.8,90.3,108.4,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.36,,,,16.65,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-2,,Carcharhinus plumbeus,Sandbar Shark,80.8,90.3,108,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.22,,,,14.93,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-3,,Carcharhinus plumbeus,Sandbar Shark,82.6,92.7,112.4,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.45,,,,15.46,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-3,,Carcharhinus plumbeus,Sandbar Shark,82.6,92.7,112,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-16.74,,,,13.8,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-4,,Carcharhinus plumbeus,Sandbar Shark,77.5,87,106.8,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.5,,,,16.17,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-4,,Carcharhinus plumbeus,Sandbar Shark,77.5,87,107,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.15,,,,14.99,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-5,,Carcharhinus plumbeus,Sandbar Shark,83.5,94.5,115,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.77,,,,17.03,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-5,,Carcharhinus plumbeus,Sandbar Shark,83.5,94.5,115,,F,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.17,,,,14.96,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-6,,Carcharhinus plumbeus,Sandbar Shark,39.9,44.9,55.8,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-15.99,,,,15.22,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-6,,Carcharhinus plumbeus,Sandbar Shark,39.9,44.9,56,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-15.46,,,,14.52,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-7,,Carcharhinus plumbeus,Sandbar Shark,72.1,79.8,99.6,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-17.11,,,,16.38,,,,,,,,,Muscle,,,LE,,,,
DESG,,6/8/21-7,,Carcharhinus plumbeus,Sandbar Shark,72.1,79.8,100,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-16.93,,,,15.18,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-8,,Carcharhinus plumbeus,Sandbar Shark,37.9,42.1,52,,M,6/8/21,38.8815,-75.2521,Longline,,,DS,-15.28,,,,12.83,,,,,,,,,Plasma,,,LE,,,,
DESG,,6/8/21-9,,Rostroraja eglanteria,Clearnose Skate,,48,,,F,6/8/21,38.80437,-75.1796,Longline,,,DS,-15.69,,,,16.04,,,,,,,,,Muscle,,,LE,,,,
DESG,,7/14/21-20,,Carcharias taurus,Sand Tiger Shark,169,194,230,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.03,,,,15.47,,,,,,,,,Muscle,,,LE,,,,
DESG,,7/14/21-21,,Carcharias taurus,Sand Tiger Shark,146,169,200,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.37,,,,12.83,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/14/21-21,,Carcharias taurus,Sand Tiger Shark,146,169,200,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.053,,,,13.856,,,,,,,,,RBC,,,,,,,
DESG,,7/14/21-22,,Carcharias taurus,Sand Tiger Shark,173,199,236,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.8,,,,15.18,,,,,,,,,Muscle,,,LE,,,,
DESG,,7/14/21-22,,Carcharias taurus,Sand Tiger Shark,173,199,236,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.82,,,,12.75,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/14/21-22,,Carcharias taurus,Sand Tiger Shark,173,199,236,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.62,,,,14.302,,,,,,,,,RBC,,,,,,,
DESG,,7/14/21-24,,Carcharhinus plumbeus,Sandbar Shark,101,111,,,F,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.1,,,,13.73,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/14/21-24,,Carcharhinus plumbeus,Sandbar Shark,101,111,,,F,7/14/21,39.03914,-75.0395,Longline,,,DS,-17.053,,,,15.234,,,,,,,,,RBC,,,,,,,
DESG,,7/14/21-25,,Carcharhinus plumbeus,Sandbar Shark,125,139,,,F,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.46,,,,14.57,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/14/21-25,,Carcharhinus plumbeus,Sandbar Shark,125,139,,,F,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.347,,,,15.272,,,,,,,,,RBC,,,,,,,
DESG,,7/14/21-28,,Carcharias taurus,Sand Tiger Shark,139,162,192,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.97,,,,14.34,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/14/21-28,,Carcharias taurus,Sand Tiger Shark,139,162,192,,M,7/14/21,39.03914,-75.0395,Longline,,,DS,-16.877,,,,14.097,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-01,,Carcharias taurus,Sand Tiger Shark,155,177,201,,M,7/15/21,38.94982,-75.198,Longline,,,DS,-16.625,,,,14.794,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-02,,Carcharias taurus,Sand Tiger Shark,140,155,193,,M,7/15/21,38.945,-75.1837,Longline,,,DS,-16.947,,,,14.393,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-1,,Carcharias taurus,Sand Tiger Shark,155,177,201,,M,7/15/21,38.94982,-75.198,Longline,,,DS,-17.34,,,,12.11,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-2,,Carcharias taurus,Sand Tiger Shark,140,155,193,,M,7/15/21,38.945,-75.1837,Longline,,,DS,-17.17,,,,13.28,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-30,,Carcharhinus plumbeus,Sandbar Shark,82,91,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-17.14,,,,14.46,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-30,,Carcharhinus plumbeus,Sandbar Shark,82,91,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-16.992,,,,15.088,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-31,,Carcharhinus brevipinna,Spinner Shark,63,70,,,F,7/15/21,39.08482,75.13933,Longline,,,DS,-18.59,,,,13.28,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-31,,Carcharhinus brevipinna,Spinner Shark,63,70,,,F,7/15/21,39.08482,75.13933,Longline,,,DS,-18.149,,,,14.138,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-32,,Carcharhinus plumbeus,Sandbar Shark,81,92,,,F,7/15/21,39.08482,75.13933,Longline,,,DS,-17.36,,,,14.8,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-32,,Carcharhinus plumbeus,Sandbar Shark,81,92,,,F,7/15/21,39.08482,75.13933,Longline,,,DS,-17.196,,,,15.173,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-33,,Carcharhinus plumbeus,Sandbar Shark,82,89,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-16.94,,,,15.09,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-33,,Carcharhinus plumbeus,Sandbar Shark,82,89,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-17.049,,,,14.304,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-34,,Carcharhinus plumbeus,Sandbar Shark,82,91,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-17.43,,,,15.37,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-34,,Carcharhinus plumbeus,Sandbar Shark,82,91,,,M,7/15/21,39.08482,75.13933,Longline,,,DS,-17.322,,,,15.483,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-36,,Carcharhinus plumbeus,Sandbar Shark,83,93,,,F,7/15/21,39.06888,75.15475,Longline,,,DS,-17.02,,,,15.25,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-36,,Carcharhinus plumbeus,Sandbar Shark,83,93,,,F,7/15/21,39.06888,75.15475,Longline,,,DS,-16.945,,,,15.595,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-37,,Carcharias taurus,Sand Tiger Shark,177,201,238,,M,7/15/21,39.06888,75.15475,Longline,,,DS,-16.7,,,,12.05,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-37,,Carcharias taurus,Sand Tiger Shark,177,201,238,,M,7/15/21,39.06888,75.15475,Longline,,,DS,-16.583,,,,14.136,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-38,,Carcharhinus plumbeus,Sandbar Shark,82,89,,,M,7/15/21,39.06888,75.15475,Longline,,,DS,-17.09,,,,13.86,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-38,,Carcharhinus plumbeus,Sandbar Shark,82,89,,,M,7/15/21,39.06888,75.15475,Longline,,,DS,-17.135,,,,15.336,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-39,,Carcharhinus plumbeus,Sandbar Shark,81,87,,,F,7/15/21,39.06888,75.15475,Longline,,,DS,-17.84,,,,13.79,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-39,,Carcharhinus plumbeus,Sandbar Shark,81,87,,,F,7/15/21,39.06888,75.15475,Longline,,,DS,-16.86,,,,13.213,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-40,,Carcharhinus plumbeus,Sandbar Shark,69,76,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-16.61,,,,14.84,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-40,,Carcharhinus plumbeus,Sandbar Shark,69,76,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-16.922,,,,15.367,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-41,,Carcharhinus plumbeus,Sandbar Shark,60,67,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-17.09,,,,15.23,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-41,,Carcharhinus plumbeus,Sandbar Shark,60,67,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-17.134,,,,15.122,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-42,,Carcharhinus plumbeus,Sandbar Shark,68,75,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-17.15,,,,15.51,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-42,,Carcharhinus plumbeus,Sandbar Shark,68,75,,,M,7/15/21,39.13534,74.98658,Longline,,,DS,-17.638,,,,15.64,,,,,,,,,RBC,,,,,,,
DESG,,7/15/21-43,,Carcharhinus plumbeus,Sandbar Shark,69,76,,,F,7/15/21,39.13534,74.98658,Longline,,,DS,-16.64,,,,15.92,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/15/21-43,,Carcharhinus plumbeus,Sandbar Shark,69,76,,,F,7/15/21,39.13534,74.98658,Longline,,,DS,-17.154,,,,15.165,,,,,,,,,RBC,,,,,,,
DESG,,7/16/21-40,,Carcharhinus plumbeus,Sandbar Shark,80,88,,,M,7/16/21,39.05586,74.999,Longline,,,DS,-17.24,,,,15.74,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/16/21-40,,Carcharhinus plumbeus,Sandbar Shark,80,88,,,M,7/16/21,39.05586,74.999,Longline,,,DS,-16.947,,,,15.369,,,,,,,,,RBC,,,,,,,
DESG,,7/16/21-42,,Carcharhinus plumbeus,Sandbar Shark,72,79,,,F,7/16/21,39.05586,74.999,Longline,,,DS,-16.67,,,,15.8,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/16/21-42,,Carcharhinus plumbeus,Sandbar Shark,72,79,,,F,7/16/21,39.05586,74.999,Longline,,,DS,-17.268,,,,15.852,,,,,,,,,RBC,,,,,,,
DESG,,7/16/21-43,,Carcharias taurus,Sand Tiger Shark,130,152,180,,F,7/16/21,39.00134,74.99093,Longline,,,DS,-16.8,,,,14.37,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/16/21-43,,Carcharias taurus,Sand Tiger Shark,130,152,180,,F,7/16/21,39.00134,74.99093,Longline,,,DS,-16.938,,,,14.068,,,,,,,,,RBC,,,,,,,
DESG,,7/16/21-44,,Carcharias taurus,Sand Tiger Shark,150,175,207,,F,7/16/21,39.0032,75.03829,Longline,,,DS,-17.01,,,,14,,,,,,,,,Plasma,,,LE,,,,
DESG,,7/16/21-44,,Carcharias taurus,Sand Tiger Shark,150,175,207,,F,7/16/21,39.0032,75.03829,Longline,,,DS,-16.992,,,,14.074,,,,,,,,,RBC,,,,,,,
